date,price
11/27/17-22:56:47,91.14
11/27/17-22:59:22,91.14
12/02/17-08:36:06,101.99
12/02/17-12:24:40,100.46
12/02/17-12:36:23,99.59 
12/03/17-12:12:55,103.85
12/03/17-12:47:39,103.52
12/03/17-12:56:11,103.45
12/03/17-23:38:32,101.30
12/03/17-23:50:23,101.27
12/04/17-12:56:23,99.86 
12/04/17-14:27:25,98.81 
12/04/17-18:33:03,101.05
12/04/17-20:00:47,102.70
12/04/17-21:05:19,102.67
12/04/17-22:20:34,103.72
12/04/17-22:48:48,103.32
12/05/17-14:58:50,102.04
12/06/17-01:03:49,104.00
12/06/17-08:58:14,102.95
12/06/17-10:44:32,101.97
12/06/17-10:47:50,101.83
12/06/17-10:49:04,101.829
12/06/17-10:54:18,101.84
12/06/17-15:36:43,102.08
12/06/17-16:04:18,102.247
12/07/17-11:56:24,98.0201
12/07/17-12:00:30,98.1442
12/07/17-12:45:59,97.3988
12/07/17-15:45:25,94.1331
12/07/17-15:46:09,94.1331
12/07/17-17:19:02,95.9319
12/07/17-17:20:00,95.9319
12/07/17-18:59:17,99.603
12/07/17-19:12:05,98.8291
12/07/17-20:39:58,97.9643
12/08/17-20:44:56,126.296
12/08/17-21:03:53,125.875
12/08/17-22:42:37,126.786
12/08/17-23:32:08,136.801
12/08/17-23:51:45,137.096
12/09/17-08:03:21,158.017
12/10/17-20:04:45,145.472
12/10/17-20:45:34,146.885
12/10/17-22:12:34,147.446
12/13/17-22:25:00,300.736
12/14/17-09:07:33,301.58 
12/14/17-09:48:53,300.424
12/14/17-10:53:50,299.251
12/14/17-10:55:21,299.251
12/14/17-11:27:40,291.866
12/14/17-13:19:53,266.948
12/14/17-14:45:06,282.852
12/14/17-16:06:28,276.032
12/14/17-16:07:39,276.032
12/14/17-20:55:07,276.386
12/14/17-23:16:26,277.612
12/15/17-00:15:50,263.22 
12/15/17-18:06:49,310.477
12/16/17-22:32:30,303.836
12/16/17-22:33:38,303.836
12/16/17-22:57:14,305.956
12/16/17-23:02:46,305.719
12/16/17-23:46:33,326.979
12/17/17-00:36:23,315.585
12/17/17-14:43:23,320.66 
12/17/17-15:41:34,318.294
12/17/17-16:12:16,317.739
12/17/17-16:24:48,318.877
12/17/17-17:59:16,321.671
12/17/17-22:23:09,317.428
12/17/17-22:40:36,313.638
12/17/17-23:13:39,305.814
12/18/17-00:26:51,313.025
12/18/17-12:51:04,316.41
12/18/17-13:22:07,318.293
12/18/17-13:44:01,320.175
12/19/17-11:15:28,353.14
12/19/17-12:46:12,347.807
12/19/17-13:42:47,349.42
12/19/17-14:45:20,354.307
12/19/17-22:50:08,319.024
12/20/17-09:42:30,330.18 
12/20/17-10:30:59,333.439
12/20/17-13:44:51,322.271
12/20/17-17:37:08,327.172
12/20/17-19:14:47,316.141
12/20/17-20:03:05,313.979
12/21/17-00:12:03,319.794
12/21/17-11:14:42,327.714
12/21/17-15:18:46,310.58 
12/21/17-17:27:28,303.177
12/21/17-18:26:31,307.39 
12/22/17-00:00:26,290.351
12/22/17-14:23:17,233.655
12/22/17-16:39:28,249.132
12/23/17-13:21:28,309.858
12/23/17-14:05:07,297.715
12/23/17-19:27:33,306.349
12/23/17-23:17:11,287.793
12/27/17-11:47:21,282.705
12/27/17-14:02:28,274.726
12/27/17-17:31:35,274.683
12/28/17-11:03:40,252.972
12/29/17-10:27:40,239.829
12/29/17-14:41:53,254.083
12/29/17-16:03:27,249.938
12/30/17-12:08:41,221.592
12/30/17-12:14:12,222.758
12/30/17-12:35:43,221.387
12/30/17-16:53:39,218.077
12/30/17-17:36:25,224.235
12/30/17-20:35:51,223.876
12/30/17-23:03:45,219.418
12/31/17-16:04:42,236.091
12/31/17-16:33:14,235.546
01/01/18-16:29:03,226.908
01/01/18-17:21:07,227.01 
01/01/18-17:21:39,227.01 
01/01/18-17:22:10,227.01 
01/02/18-12:40:38,261.954
01/02/18-14:21:34,260.272
01/04/18-16:03:57,238.559
01/05/18-23:21:27,251.814
01/06/18-00:34:20,270.694
01/06/18-01:00:09,285.249
01/06/18-10:00:41,314.911
01/06/18-12:25:00,306.194
01/06/18-13:56:23,299.811
01/08/18-15:31:38,252.608
01/08/18-16:43:12,257.035
01/08/18-22:46:25,255.564
01/09/18-20:11:51,249.152
01/09/18-21:24:49,245.906
01/10/18-16:03:05,249.35 
01/10/18-16:48:48,250.008
01/10/18-16:59:36,249.966
01/12/18-18:30:22,235.387
01/12/18-19:31:02,235.99 
01/12/18-22:47:06,237.684
01/13/18-20:22:49,251.304
01/13/18-21:03:16,262.17 
01/14/18-00:12:05,265.398
01/14/18-17:26:53,241.826
01/15/18-00:31:13,238.636
01/15/18-02:03:26,238.423
01/15/18-15:02:53,240.833
01/15/18-15:19:38,241.204
01/15/18-17:00:29,238.648
01/15/18-18:56:39,237.789
01/16/18-00:02:21,224.708
01/16/18-00:29:24,223.438
01/16/18-13:40:55,205.376
01/16/18-15:05:50,202.896
01/16/18-17:49:06,200.994
01/16/18-18:23:47,197.512
01/16/18-18:46:00,192.544
01/16/18-19:37:31,173.871
01/16/18-20:26:52,160.621
01/16/18-21:52:35,188.831
01/17/18-13:21:29,149.117
01/17/18-17:26:25,161.38 
01/17/18-17:43:38,163.125
01/17/18-18:32:37,176.174
01/17/18-19:02:04,179.527
01/18/18-10:12:48,195.336
01/18/18-12:06:01,197.628
01/18/18-12:29:58,197.607
01/18/18-14:06:51,206.498
01/18/18-15:36:14,200.989
01/18/18-16:44:23,199.037
01/18/18-17:31:17,199.433
01/19/18-10:54:27,199.458
01/19/18-12:43:42,197.099
01/19/18-15:13:30,195.661
01/19/18-16:32:38,190.603
01/20/18-14:07:06,204.67
01/20/18-14:21:23,205.531
01/21/18-15:03:20,187.964
02/02/18-12:12:25,135.764
02/02/18-17:08:52,124.886
02/03/18-10:45:27,135.365
02/04/18-17:31:46,145.042
02/07/18-11:50:31,156.379
02/07/18-16:30:40,152.656
02/08/18-00:03:42,142.584
02/08/18-16:26:49,142.639
02/09/18-14:07:51,151.87
02/09/18-23:34:06,167.093
02/12/18-12:56:23,156.0
02/12/18-23:18:54,161.503
02/15/18-14:14:03,220.314
02/16/18-14:00:46,231.46
02/24/18-21:49:39,205.988
03/01/18-23:20:26,211.98
03/04/18-20:25:02,211.352
03/05/18-16:52:45,212.467
03/05/18-19:06:05,211.504
03/07/18-09:01:27,192.793
03/09/18-00:49:47,168.495
03/12/18-17:47:10,178.612
03/12/18-19:07:13,180.667
03/12/18-19:07:19,180.667
03/12/18-19:08:14,180.667
03/14/18-13:25:10,166.925
03/14/18-18:10:55,162.467
03/16/18-14:00:11,169.732
03/17/18-02:14:48,161.97
03/17/18-17:28:54,151.148
03/18/18-00:59:11,149.815
03/19/18-11:21:11,163.049
03/20/18-11:17:25,159.831
03/20/18-11:19:28,159.831
03/23/18-01:10:12,159.074
03/26/18-14:09:05,147.244
03/26/18-23:52:09,141.691
03/28/18-14:09:34,131.865
03/29/18-13:02:28,120.128
03/31/18-22:51:14,117.833
04/01/18-14:23:58,116.07
04/02/18-14:36:04,119.102
04/03/18-17:14:06,133.636
04/06/18-10:06:50,114.124
04/06/18-13:00:25,113.858
04/07/18-13:13:47,119.005
04/07/18-13:19:13,119.38
04/07/18-13:21:12,119.262
04/09/18-21:49:12,115.307
04/09/18-22:34:10,114.681
04/10/18-23:07:31,114.311
04/11/18-13:45:30,114.731
04/11/18-19:30:09,114.992
04/14/18-23:10:13,127.585
04/15/18-17:01:45,130.659
04/15/18-22:38:04,132.418
04/16/18-13:34:55,126.324
04/16/18-19:19:42,127.552
04/18/18-14:04:58,137.565
04/18/18-14:16:07,137.654
04/18/18-14:16:55,137.654
04/18/18-14:17:43,137.654
04/22/18-20:37:40,146.665
04/23/18-20:11:58,152.191
04/24/18-18:57:59,164.323
04/25/18-10:51:08,146.285
04/25/18-22:59:09,144.195
04/28/18-01:51:32,148.639
04/28/18-17:34:37,153.314
04/29/18-22:19:06,153.594
05/02/18-12:50:57,149.108
05/03/18-16:24:48,160.757
05/04/18-00:23:39,158.872
05/05/18-19:01:28,177.104
05/06/18-17:29:22,168.839
05/06/18-22:59:23,165.966
05/08/18-18:22:06,158.457
05/14/18-12:22:15,145.589
05/15/18-17:13:26,140.906
05/15/18-23:53:39,135.588
05/16/18-22:25:15,139.995
05/19/18-23:57:44,135.049
05/23/18-15:13:32,118.475
05/25/18-14:20:15,119.077
05/26/18-21:41:35,117.16 
05/29/18-12:28:11,119.458
05/29/18-21:22:24,119.579
05/30/18-11:59:35,118.978
06/04/18-08:15:00,121.466
06/05/18-09:29:37,117.754
06/06/18-14:06:02,118.919
